feedback_id,order_id,review_date,product_review,review_score
FB-00001,ORD-08254,2024-04-25,"Excellent build quality, highly recommend.",5
FB-00002,ORD-08249,2026-04-09,Amazing product! Will buy again.,5
FB-00003,ORD-09094,2024-06-10,"Quality is average, expected better.",3
FB-00004,ORD-00917,2026-02-26,"Excellent build quality, highly recommend.",5
FB-00005,ORD-01896,2024-11-27,"Excellent build quality, highly recommend.",5
FB-00006,ORD-00304,2025-03-24,"Quality is average, expected better.",3
FB-00007,ORD-03270,2025-07-30,"Product works well, good value for money.",3
FB-00008,ORD-07306,2024-12-22,"Great product, very happy with the purchase!",5
FB-00009,ORD-05709,2025-03-04,"Product works well, good value for money.",3
FB-00010,ORD-06849,2025-03-23,"Great product, very happy with the purchase!",5
FB-00011,ORD-00333,2026-06-13,Satisfied with the purchase overall.,4
FB-00012,ORD-02563,2026-06-03,"Okay product, nothing special.",2
FB-00013,ORD-05187,2024-09-28,"Great product, very happy with the purchase!",5
FB-00014,ORD-06705,2024-07-29,Satisfied with the purchase overall.,4
FB-00015,ORD-05786,2024-03-04,"Poor quality, returned the item.",1
FB-00016,ORD-07299,2025-05-31,Decent product but packaging could be better.,3
FB-00017,ORD-05973,2024-11-25,"Excellent build quality, highly recommend.",5
FB-00018,ORD-03324,2025-12-31,"Product works well, good value for money.",3
FB-00019,ORD-08648,2024-07-12,Fast delivery and good product.,4
FB-00020,ORD-06227,2025-04-05,Fast delivery and good product.,4
FB-00021,ORD-00124,2026-03-07,"Delivered on time, product as described.",5
FB-00022,ORD-07163,2025-02-01,"Very good product, exceeded expectations.",5
FB-00023,ORD-06719,2025-05-01,Good quality for the price.,4
FB-00024,ORD-08947,2026-02-13,"Delivered on time, product as described.",5
FB-00025,ORD-09381,2024-02-17,"Not satisfied, product did not match description.",2
FB-00026,ORD-03030,2025-07-16,Fast delivery and good product.,4
FB-00027,ORD-05668,2026-01-02,Good quality for the price.,4
FB-00028,ORD-05945,2026-05-24,"Excellent build quality, highly recommend.",5
FB-00029,ORD-01271,2025-03-29,"Great product, very happy with the purchase!",5
FB-00030,ORD-08735,2024-06-27,Decent product but packaging could be better.,3
FB-00031,ORD-05252,2025-05-16,Satisfied with the purchase overall.,4
FB-00032,ORD-09417,2025-09-12,"Product works well, good value for money.",3
FB-00033,ORD-01722,2026-05-30,Good quality for the price.,4
FB-00034,ORD-08318,2024-09-17,"Delivered on time, product as described.",5
FB-00035,ORD-09897,2025-09-15,"Poor quality, returned the item.",1
FB-00036,ORD-06614,2025-09-09,"Great product, very happy with the purchase!",5
FB-00037,ORD-08564,2024-10-22,"Great product, very happy with the purchase!",5
FB-00038,ORD-01470,2025-07-09,"Excellent build quality, highly recommend.",5
FB-00039,ORD-06797,2026-01-16,"Product works well, good value for money.",3
FB-00040,ORD-03564,2025-05-08,Fast delivery and good product.,4
FB-00041,ORD-00419,2024-05-12,"Great product, very happy with the purchase!",5
FB-00042,ORD-07853,2024-03-04,"Excellent build quality, highly recommend.",5
FB-00043,ORD-08010,2025-07-07,Fast delivery and good product.,4
FB-00044,ORD-05409,2024-02-05,"Not satisfied, product did not match description.",2
FB-00045,ORD-07030,2024-04-30,"Quality is average, expected better.",3
FB-00046,ORD-04674,2024-09-30,"Great product, very happy with the purchase!",5
FB-00047,ORD-06257,2024-07-15,Decent product but packaging could be better.,3
FB-00048,ORD-00651,2024-09-03,"Very good product, exceeded expectations.",5
FB-00049,ORD-02414,2024-08-12,"Quality is average, expected better.",3
FB-00050,ORD-08350,2025-08-31,Amazing product! Will buy again.,5
FB-00051,ORD-02963,2024-11-26,Satisfied with the purchase overall.,4
FB-00052,ORD-04781,2024-12-24,"Excellent build quality, highly recommend.",5
FB-00053,ORD-02225,2025-10-19,"Excellent build quality, highly recommend.",5
FB-00054,ORD-05566,2024-02-06,Amazing product! Will buy again.,5
FB-00055,ORD-08527,2025-06-25,Decent product but packaging could be better.,3
FB-00056,ORD-03602,2024-05-12,"Excellent build quality, highly recommend.",5
